index,decision,reason,site,source_kind,title,url
99,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,싱글 5년차 60대가 사람 만나는 법,https://m.pann.nate.com/talk/375376843
100,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,학창시절 내내 왕따였다는 애인,https://m.pann.nate.com/talk/374887676
101,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이거 여미새 맞지..?,https://m.pann.nate.com/talk/375380780
102,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,별거 아닌 한마디세 서운하고 외로워요. 남친과다툼,https://m.pann.nate.com/talk/375186564
103,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,친구가 모임어플로 사람만난다하면 정떨어짐??,https://m.pann.nate.com/talk/375422194
104,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,엑소 카이 이시국에 친목생파해서 논란남ㅋㅋ,https://m.pann.nate.com/talk/356924385
105,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,별거아닌데 다툰거같은 남친반응에 서러움,https://m.pann.nate.com/talk/375186583
106,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,제꿈이왜 사회복지사 인줄 아세요?,https://m.pann.nate.com/talk/115813681
107,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,대학에선 여고처럼 여자들끼리의 우정 없네요??????,https://m.pann.nate.com/talk/316115188
108,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,제 말이 배려가 없는건가요?,https://m.pann.nate.com/talk/374482590
109,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이성을 트이터에서 만난 사이라는게 뭔뜻이야?,https://m.pann.nate.com/talk/375091021
110,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,32살 여자 이혼 찐후기,https://m.pann.nate.com/talk/374086744
111,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,청하 코로나 ㄹㅇ에바참치네ㅋㅋ,https://m.pann.nate.com/talk/355986475
112,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,26학번이 반드시 알아야할 정보,https://m.pann.nate.com/talk/374875312
113,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,+추추가)+추가)제가 진짜 남편을 너무 잡는건가요?,https://m.pann.nate.com/talk/343180774
114,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,H.O.T. 명함한번보실래요? (사진 有),https://m.pann.nate.com/talk/3868103
115,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,☞여기 커플매니저가 그렇게 잘 엮는다며?☜,https://m.pann.nate.com/talk/202381296
116,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,어디든,https://m.pann.nate.com/talk/374984906
117,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이제 12학번이 될 예비 대학생들에게!,https://m.pann.nate.com/talk/313931851
118,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,사이비 구별 하는 방법 알려줌,https://m.pann.nate.com/talk/372479090
119,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"[단독]'골때녀' 기적 이룬 소유미, 679일 만에 골→해트트릭 ""이게 되네요?""(인터...",https://m.pann.nate.com/talk/374940549
120,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,(매우 긴 글 주의) 제가 친구에게 실수한걸까요?,https://m.pann.nate.com/talk/374465413
121,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"[단독]'골때녀' 소유미 ""父 소명, 679 만의 골 너무 좋아해…징크스는 인정 NO""(인...",https://m.pann.nate.com/talk/374940550
122,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,집주인때문에 울고싶습니다.(본문밑에 추가글올립니다.),https://m.pann.nate.com/talk/350834926
123,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,여잔데 여초모임이 너무 안맞아요..,https://m.pann.nate.com/talk/370271128
124,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,성희롱2차 가해자일까 VS 피해망상일까,https://m.pann.nate.com/talk/372915398
125,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,같이 일하는 부부 문제 (+추가 있습니다,https://m.pann.nate.com/talk/372644437
126,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,가슴이 큰 것때문에 미치겟습니다>_<;;,https://m.pann.nate.com/talk/2260944
127,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,남친이 제가 나가는 캠핑모임을 반대해요,https://m.pann.nate.com/talk/373405006
128,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,25학번이 꼭 알아야할 대학교 팁,https://m.pann.nate.com/talk/373347081
129,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,직장인 취미생활 뭐 하세요?,https://m.pann.nate.com/talk/365549998
130,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,9년동안 전화연락만 하고 한번도 보자고 안하는 남자의 심리는 뭔가요?,https://m.pann.nate.com/talk/1447102
131,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,사이비인 애들 특징,https://m.pann.nate.com/talk/372213498
132,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이 연애를 계속 하는게 맞는걸까요? (긴글주의),https://m.pann.nate.com/talk/371265105
133,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,새내기들한테 대학교 꿀팁 알려줌,https://m.pann.nate.com/talk/372235800
134,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,일상 생활이 외로워요,https://m.pann.nate.com/talk/352402662
135,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이야기방 대화中 게시판에 대한 이슈 제의,https://m.pann.nate.com/talk/119755141
136,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,♡부산경남쏠로 ! 내사람찾기+친목도모♡,https://m.pann.nate.com/talk/201198536
137,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,아무도 나를 찾지 않아,https://m.pann.nate.com/talk/365103253
138,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,다들 남자 어디서 어떻게 만나는지,https://m.pann.nate.com/talk/348601765
139,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,남편의 온라인 바람,https://m.pann.nate.com/talk/370263991
140,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,42탄 머리카락,https://m.pann.nate.com/talk/319524187
141,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,친구 단 한명도 없는 사람 있어요?,https://m.pann.nate.com/talk/366906007
142,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이제 22살인데 내 인생이 남들에 비해 좀 많이 꼬인 채로 시작하는듯,https://m.pann.nate.com/talk/368899845
143,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이게 강간일까요,https://m.pann.nate.com/talk/342306160
144,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"빽가, 시상식 공연 중 호응 無... ""이런 행사 안 한다"" 어땠길래? (라디오쇼)[종합]",https://m.pann.nate.com/talk/374764696
145,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,아 이거 보고 진짜 뒤집어졌음 ㅋㅋㅋㅋㅋㅋ,https://m.pann.nate.com/talk/201475670
146,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,부모님이 너무 심하게 간섭합니다… 조언 부탁드려요,https://m.pann.nate.com/talk/369398888
147,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,결혼할수있을까요?,https://m.pann.nate.com/talk/374594445
148,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,N번방 방지법 검열 사이트 목록,https://m.pann.nate.com/talk/364005541
149,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"돈없는 남자친구, 제가 어디까지 이해할 수 있을까요?",https://m.pann.nate.com/talk/346087104
150,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,현실적인 여대 생활에 대해 알려줄께~ 대학 선택 시 참고하길..,https://m.pann.nate.com/talk/333680013
151,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,살찐 여자와 마른 남자의 전쟁같은 사랑,https://m.pann.nate.com/talk/367827799
152,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,전남친 전여친 잊는법 알려드림,https://m.pann.nate.com/talk/364693713
