platform,review_id,rating,review_date_utc,review_year,review_text,review_title,thumbs_up,app_version,source_url
Google Play,18a5d8bd-307a-40b3-8f8c-4a7496313545,3,2023-10-31T10:47:54+00:00,2023,다 필요없고 게시글 내에서 사진 수정 기능 정말 시급합니다! 이건 기본 기능 아닌가요..? 꼭 반영부탁드려요!,,0,4.7.0,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,4b42e70c-e21e-407a-9b69-5902f9c72304,1,2023-10-31T10:45:25+00:00,2023,새 버젼 불편해요 내 모임을 찾아야하는데 왜 아래 있는지 모르겠네요,,1,4.7.0,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,3210a178-9533-4097-b09a-362953614703,3,2023-10-30T06:22:20+00:00,2023,"7년간 프리미엄스폰서로 사용한 유저입니다. 전반적으로 잘 사용하고있었으나 최근들어 개선필요한건 개선이안되고 불필요한 기능만 추가되는 것 같습니다. 예전에 나이 제한때문에 개선관련하여 문의드렸을때는 친절히 답변도 주고 수정할부분은 수정해줘서 소통이되는 느낌이었는데, 최근에는 그런것 같지 않아 아쉽습니다. 일례로 최근에 업데이트된 것들 중 아래 항목에 대해 개선 문의를 드렸으나 피드백이 없었습니다. 1. 모임 개설시 사진첨부가 필수인 것 - 선택으로 변경 필요 2. 모임 참가시 채팅방 개설이 자동으로되는데 참가 누를 경우 채팅을 반드시 해야하는 것 - 선택으로 변경 필요 그뿐만아니라 아래 다른 유저분들도 쓰신 내용 상당히 공감되고 개선되어야한다고 생각됩니다. 오늘 업데이트 했는데 개선된건없고 비공개모임 기능(뭔지는 모르겠음) 추가된거보고 안타까워 평가 남깁니다.",,60,4.7.0,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,705bf858-bb6b-4073-899a-1ada0e17b1fe,3,2023-10-24T02:54:08+00:00,2023,잘 사용하는데 최소한 생년은 실명확인에서 확인된 정보로 표시되었으면 합니다 너무 많은 사람이 거짓으로 설정하는데 문제 있다고 생각합니다,,4,4.6.9,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,1cfe898a-8187-4f50-8d4a-7e832efe4423,1,2023-10-20T02:14:34+00:00,2023,벙참때 인사말안해도되베해주세요 벙생성때 사진필수아니게해주세요,,1,4.6.9,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,f86b22e2-f0af-4a50-97f2-e6eb3d5adff8,1,2023-10-16T01:22:21+00:00,2023,모임 검색이안되는데 답장도 없고 해결도 안해주네요 담당자 연락처도 없고 메일회신도 없습니다,,2,4.6.4,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,7023b50f-6a01-4305-94fc-ba54c6b31294,3,2023-10-15T04:59:40+00:00,2023,도대체 모임참석인사를 왜 하라는거야ㅡㅡ업데이트할때마다 쓸데없는 기능만 계속생기고 경쟁어플나오면 바로 갈아탈사람 많을듯,,3,4.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,71164749-1bbc-4e62-bf8b-9bbdf5a729e9,1,2023-10-12T08:53:08+00:00,2023,대체 어떤 놈이 정모 버튼에다 사진 강제로 쳐올리는거랑 참석인사 어거지로 써야 참석되는 기능 만들었습니까?? 인터페이스도 거지발싸개같이 만들어놓더니 점점 더 이상해지네요.,,5,4.6.9,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,1e4bafa4-8766-46b2-a2f1-1d12def60381,1,2023-10-10T13:06:59+00:00,2023,모임초대 거부기능 만들어주세요ㅠ,,2,4.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,60d64661-adb0-4fad-9e38-09246488700c,1,2023-10-10T08:35:03+00:00,2023,여자만나는게 목적이면 깔지마세요. 그냥 고추밭임 ㅋㅋㅋㅋㅋㅋ 여자만 공주대접받고 남자는 푸대접받는 소모임들이 대부분임,,0,4.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,7fe37128-8aa1-45da-b016-1b1e5415db66,1,2023-10-08T12:37:57+00:00,2023,뭔 모임에 가입해보세요 하고 계속 알람 날아오는데 이거 끄려면 앱 전체 알람 꺼야함,,0,4.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,93d499e3-ad8f-4a19-9fa9-977031a5961b,1,2023-10-06T22:51:16+00:00,2023,돈안지르면 모임노출안됌,,0,4.6.7,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,b6d1dacf-255a-422c-bfb5-a808069b3b6e,2,2023-10-06T03:58:12+00:00,2023,업데이트하고나서 복잡해짐ㅜㅜ업데이트안하면 사용불가하고....채팅창에 사진은 올릴수있는데 동영상은 아직 못올리네요.돈 안받는 밴드는 되는데ㅜㅜ,,2,4.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,c6b5294f-5c29-46a4-b1f1-dd0375f23615,3,2023-10-06T03:07:43+00:00,2023,나쁘지 않음,,0,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,cb9e60d3-28e7-46f3-900d-9240c0a3d9bb,3,2023-10-06T03:00:07+00:00,2023,업데이트나 변경 좀 신중하게해요 쓸데없는 변경이 왜이렇게 잦습니까 보는것도 쓰는것도 불편한 변경들..,,2,4.6.8,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,e917340a-609d-4c29-8861-91912424bc72,1,2023-10-05T23:39:33+00:00,2023,4.6.5 업데이트 후 반짝일정 없어지고 채팅방 이상해짐. 이상하게 소모임어플은 날이 길수록 퇴보하네 이제 반짝일정도 돈내야 할수 있으려나?? ㅋㅋㅋ -------------------- 위 내용 올리자마자 4.6.6 으로 바로 업뎃했던데... 뭐가달라졌는지 제발 설명좀?????? 최소한 반짝일정 어떻게 된건지라도 설명 좀???? ---------------------------- 반짝일정 어디있는지 찾았음. 다시 반짝일정에서 투데이번개로 이름 바뀜. 굳이 몇번의 과정을 거쳐야 볼 수 있게 만들어 놔서 완전 불편함. 일부러 찾아서 보지 않는 이상 채팅방에서는 투벙 떠있는지 알 수도 없음. ------------------------------------------- 결국 예전이랑 비슷하게 돌려놨네? ㅋㅋㅋ 근데 채팅창 오류 엄청남. 태그 알림 한참 뒤에 옴. 만약 지금의 사단이 새로 영입한 사람이 앱 디자인 한 것 때문이면 그냥 그사람이 손대기 전 버전으로 롤백 하기를 바람.,,10,,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,c8291829-8bcd-42f5-a078-67028fa9c7ce,3,2023-10-05T06:28:21+00:00,2023,기존모임장한테 뜨는 회원탈퇴및강퇴메시지가 안뜨네요?,,1,4.6.7,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,800da9b8-2d9f-49a6-b995-027511ddf094,3,2023-10-04T07:44:14+00:00,2023,아니 업데이트 할때마다 왜이렇게 불편하게 만드나요? 채팅창 분리를 도대체 왜이렇게 해놓은건가요? 너무 불편 합니다 예전처럼 같이 붙어 있을때가 좋은것 같습니다,,1,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,9c78c138-f8f7-4b30-8930-9757875fec3c,1,2023-10-03T22:45:21+00:00,2023,재가입시요 전번을 적고 인증을 눌러도 인증번호가 안오구요 아무리 기다려도요 ㅜ 지금은 인증번호요구 횟수가 초과되엇다고 23시간후에 가입가능하다 뜨는데요 ㅜ 왜이리 인증번호 받기가 안되고 힘든걸까요? ㅜ,,1,4.6.7,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,3215eaad-4894-4f0f-812b-5e68fd25c755,1,2023-10-02T10:38:51+00:00,2023,아니 이번 업데이트..멉니까 투벙창도 겁나 불편하게 해놓고 한번에 클릭할꺼 두세번 클릭하게 하고 직관적이지도 못하고 진짜 이번패치 디자인누가한겁니까 회사 안티인가 직원이,,6,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,128064cf-70a5-4247-8232-e6a459629380,1,2023-10-02T06:21:00+00:00,2023,이틀째 앱이 안깔립니다..,,0,3.6.9,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,99345ad6-59e6-4b41-961b-2d1ef2802505,1,2023-10-02T05:44:25+00:00,2023,"업데이트 되면서 너무 불편해졌습니다. 모임 내 게시판, 사진첩, 투데이 벙이 직관적이지 않고 채팅은 뒤늦게 보이기도 합니다. 개선해주세요~~!!!",,1,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,2ea95389-5300-4c77-b7a9-8c80c712f829,1,2023-10-02T05:22:44+00:00,2023,업데이트를 했는데 왜 더 불편하게 만드신건지 이해가 안됩니다 원레대로 돌려놔주세요,,1,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,00a15034-5d93-4cc6-9b67-a4122915694a,1,2023-10-02T04:40:18+00:00,2023,진짜 어플 기획 개발 디자인 다 드럽게 못함 못하겠으면 그냥 냅두셈,,1,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,e364ef31-c9af-4b94-a5c8-d67a01d7deeb,3,2023-10-01T12:52:17+00:00,2023,업데이트 될때마다 더 불편해지는 소모임...굳이,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,3048fb6e-83cb-477b-9d9b-1906bce807fb,1,2023-10-01T10:55:50+00:00,2023,여기 후불제소개팅 플러팅이라고 있습니다. 김현욱이라는분 조심하세요. 사기당하지마시고요,,1,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,eb0092f1-03ba-4893-9b66-57ab0b42ef01,3,2023-10-01T02:42:02+00:00,2023,업뎃했더니 이상해졌네요 투벙창도 안뜨고 더 불편해졌어요,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,28ef7542-47bf-48bb-83c6-32c78410e1d6,1,2023-09-30T12:37:05+00:00,2023,리뉴얼을 뭐 이리 자주하는건질. 개판이네요 개판,,1,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,15808e8a-2c78-4195-b832-f08bf7a102d3,1,2023-09-30T08:52:46+00:00,2023,아 술마시고 업데이트 했나;;;전체태그나 해달라구여!!,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,7c406711-2511-4734-8506-61a35558d290,1,2023-09-30T07:08:45+00:00,2023,업데이트 진짜 뭐같이 해놨네,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,17d11054-99c0-4539-9dc2-38838da076cd,3,2023-09-30T05:32:38+00:00,2023,왜켈 점점 업데이트가 구림? 임티나 업데좀...ㅡㅡ,,1,4.6.5,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,e1394d32-6c72-4a33-ab27-7d3939ffe377,1,2023-09-30T02:08:57+00:00,2023,반짝일정 다시 살려주세요.,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,f67ea1fe-2f5d-4215-a170-93ef7d054449,3,2023-09-30T01:53:56+00:00,2023,업데이트 하고 이상해졌어요..투데이번개창도 사라지고..,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,4178a18c-89bd-4f60-82d6-9067a7b11daf,1,2023-09-29T12:40:16+00:00,2023,갑자기 업뎃을 거지같이 만들어놨나요..ㅡㅡ,,2,4.6.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,f64095d9-5ed1-4043-8af1-227bd40d180f,1,2023-09-29T08:28:03+00:00,2023,이번 업뎃 채팅방 따로 있는거 개불편하네,,2,4.6.5,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,5b85d7f1-0285-4121-bf93-c5adf45bc21a,3,2023-09-29T07:01:57+00:00,2023,업데이트 후 채팅방에서 반짝일정 사라짐 정모 만들어놓은거 좀 있음 사라짐. 비상이에요 관계자분들..,,0,4.6.5,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,d831d702-7bbf-4ce4-9a6c-bfd99e974c0c,1,2023-09-29T06:56:51+00:00,2023,업데이트하고 벙을 못올리네요,,2,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,57d6d3bd-62e3-4dcb-84c4-71d1f1765183,1,2023-09-29T01:44:22+00:00,2023,업데이트 이후 투데이벙이 사라졌습니다 의도적으로 없애신건지 오류인건지 확인부탁드립니다,,3,4.6.5,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,4ee66d28-009b-4394-b239-2510510198df,2,2023-09-27T03:59:16+00:00,2023,처음엔 흥미로웠으나 남자의경우 모임장이 여미새인지 자신의 생각이랑 틀린지 판단잘하고 어울릴필요는 있다 꾸준히 잘 모이다가 의견불일치하면 그 조직은 모임장 아래로 네트워킹 되기때문에(강퇴권한) 인관관계가 터무니없이 끝나게됨 결국 시간낭비,,1,4.1.5,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,301926fd-2f14-4391-bc4e-17e844e5d4cc,1,2023-09-25T06:56:08+00:00,2023,폰 바꿨는데 기존 계정으로 로그인을 못 하네,,0,4.6.4,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,76abacd0-3877-4377-a021-6529be93c8f2,2,2023-09-22T17:02:16+00:00,2023,어떤모임을 신고하고있는데 조치는 되고 있나요?,,0,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,877ec57a-4531-4637-b5ff-bb833401c0ee,1,2023-09-17T15:38:59+00:00,2023,지금껏 업데이트중 어플내 채팅시 사진 업로드기능이 최악임 데이터와 베터리 소모가 어마한데 별로네요,,1,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,1eab9b14-6dc9-42e4-b35a-b4dc1d3c9843,1,2023-09-17T04:55:08+00:00,2023,소모임 어플 결제하지마세요 이 어플은 운영자 전화해도 전화안받아요 영자가 제재가 심해요,,1,,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,639fd6b3-1044-440c-a532-c8d384b0f91b,1,2023-09-14T08:54:59+00:00,2023,폰을 바꿨는데 계정이 사라졌네요 어떻게 해야하죠?,,0,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,87bec676-8a8b-4e4a-8c0b-ffffd3067757,1,2023-09-12T11:33:39+00:00,2023,돈내는 모임에서 이유없이 강퇴 당해서 신고해도 무의미...운영진은 돈만 받아 먹으면 된다는 생각뿐. 그냥 운영진은 노답인 어플!! 모임장이 기분따라 강퇴 하면 그냥 끝. 소소하게 돈 버실분 모임장 하시고 강퇴하세요,,0,4.5.7,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,eb767e07-f68f-4100-b0e8-d82ef6f52f28,1,2023-09-10T20:12:04+00:00,2023,진심 보험팔이들 천지인데 관리좀해라 영업어플 그이상 그이하도 아닌수준,,2,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,98fc19b9-15a9-4565-a499-712cd3e12310,1,2023-09-10T02:28:17+00:00,2023,소모임 결제 하지마세요 운영자가 서버관리도 안하구요 돈 돌려받지 못합니다 그리고 자주탈퇴하면 운영자가 개입해서 접속안되게 막습니다,,1,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,cba7cc3b-62f7-4a10-8d66-5e53a8347e6e,1,2023-09-08T16:15:10+00:00,2023,첫 화면 인증이 안돼요 여러번 했는데 아무 것도 날라오지 않아서 인증횟스 초과로 결국 회원가입이 막혔네요 ㅜㅜ,,0,4.6.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,ca956262-1c58-4372-94fe-35173330ea6c,1,2023-09-08T02:07:11+00:00,2023,돈떼먹는 인간들있음! 신고해도 조치도없음!,,0,4.5.9,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,a2e77da8-b1a4-404d-b979-a0797f021553,3,2023-09-06T09:54:30+00:00,2023,채팅방에서 사진 삭제하려 누르면 위탭화면에 삭제버튼이 가려져 삭제불가합니다,,0,4.6.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,b7479c99-e3f9-499d-a5ec-c75c9c400ae1,3,2023-09-05T10:18:50+00:00,2023,출석체크 기능을 좀 만들어주세요. 한달에 몇번 나왔는지 정모참석이력을 보는 기능을 주세요. 제발 몇년째 얘기중입니다.,,5,4.5.7,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,19349e2c-614c-4658-b23b-6874b97acae4,1,2023-09-03T23:50:54+00:00,2023,강퇴 횟수 제한좀 풀어주세요 비활동 회원들 정리하려고 하는데 주간 강퇴제한 15명 왠말입니까? 170 명 강퇴하는데 반년 걸리겠네. 이게 제한 왜 만든건가요? 잠시라도 제한좀 풀어주세요 ㅡㅡ,,1,4.6.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,150ec6eb-c7cc-4857-9d5e-dd2376494a07,1,2023-09-03T15:51:34+00:00,2023,"유료모임도 활성도 떨어진다고, 모임리스트에서 없애는 개떡같은 어플. 최소한 유료로 구입한 기간에는 활성도 상관없이 띄워줘야하는거 아닌가?",,0,4.6.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
